"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4930520O04Rik_ENSMUSG00000074039","CD11b+","Nb","PBS",FALSE,109.269556255903,0.839071234788672,0.196952207842341,4.26027838926459,2.04172435330768e-05,0.000520496136105385
"Cd1d1_ENSMUSG00000028076","CD11b+","Nb","PBS",FALSE,963.733201666308,0.836750335151324,0.140634645082985,5.94981652392681,2.68443235867875e-09,2.32287287536921e-07
"Sptb_ENSMUSG00000021061","CD11b+","Nb","PBS",FALSE,243.42169422624,0.831911733226377,0.192762401118827,4.31573651499366,1.59071629552043e-05,0.000426811378129465
"Tmem200b_ENSMUSG00000070720","CD11b+","Nb","PBS",FALSE,127.447575124619,0.83054824138747,0.1910025600209,4.34836182979217,1.3715818598774e-05,0.000378763617292209
"Snord118_ENSMUSG00000064899","CD11b+","Nb","PBS",FALSE,183.669283820077,0.829295340880674,0.160614930501121,5.1632518738654,2.4269622091503e-07,1.20434737583104e-05
"Tmem64_ENSMUSG00000043252","CD11b+","Nb","PBS",FALSE,214.287473192048,-0.826289628256116,0.122697759999858,-6.73434974083532,1.64664668859918e-11,2.27978234036556e-09
"Yam1_ENSMUSG00000098178","CD11b+","Nb","PBS",FALSE,3289.76428675299,-0.819521782419719,0.186613301851907,-4.39155073238068,1.12545067318961e-05,0.000322605891724848
"Ppt2_ENSMUSG00000015474","CD11b+","Nb","PBS",FALSE,99.4649257455094,-0.819071967640099,0.242293722852128,-3.38049190048551,0.000723562076115792,0.00971650528013884
"Ncl_ENSMUSG00000026234","CD11b+","Nb","PBS",FALSE,746.525913366712,-0.818009505620216,0.124834414057417,-6.55275639972144,5.64846185311008e-11,6.85990827686922e-09
"Txndc17_ENSMUSG00000020803","CD11b+","Nb","PBS",FALSE,4113.61230471075,0.816121513168024,0.114969863520756,7.09856903518622,1.26055217504317e-12,2.29636116624641e-10
"Furin_ENSMUSG00000030530","CD11b+","Nb","PBS",FALSE,600.684720103955,-0.815871405634482,0.111732200405086,-7.30202576049281,2.83466977958607e-13,6.13218798412018e-11
"Il2ra_ENSMUSG00000026770","CD11b+","Nb","PBS",FALSE,1244.50035184913,0.81549480198178,0.110124117910294,7.40523345345726,1.30919949592566e-13,3.12514948639496e-11
"Padi2_ENSMUSG00000028927","CD11b+","Nb","PBS",FALSE,369.244446810112,-0.81278796028369,0.134645474487386,-6.03650411109685,1.5748874123301e-09,1.41586468985132e-07
"Myh15_ENSMUSG00000092009","CD11b+","Nb","PBS",FALSE,53.7009133408099,-0.809675178916708,0.209083104443666,-3.87250409865071,0.000107722863857709,0.00206568289488918
"Flnb_ENSMUSG00000025278","CD11b+","Nb","PBS",FALSE,4791.87076237464,0.809590557824866,0.116928131512922,6.92383045337039,4.39591998649691e-12,7.16017790741761e-10
"Insl6_ENSMUSG00000050957","CD11b+","Nb","PBS",FALSE,346.872833193185,0.807472107510328,0.147415135765291,5.47753867551263,4.31282761559899e-08,2.80333795013935e-06
"Zfhx2_ENSMUSG00000040721","CD11b+","Nb","PBS",FALSE,68.838068336482,-0.800917967515815,0.212696988919115,-3.76553505334479,0.000166192804426765,0.00297971849897663
"Sema7a_ENSMUSG00000038264","CD11b+","Nb","PBS",FALSE,2704.02271218398,0.800771596942987,0.139722885175358,5.73114129398333,9.97571237014045e-09,7.58866691014256e-07
"Atp1b1_ENSMUSG00000026576","CD11b+","Nb","PBS",FALSE,167.704860466117,-0.800182089623213,0.208369300211906,-3.84021105224929,0.000122928582927153,0.00232189117411518
"Suv39h2_ENSMUSG00000026646","CD11b+","Nb","PBS",FALSE,181.629956381966,0.797793985468773,0.19097399393928,4.17750065866261,2.94729810798376e-05,0.00070965812704409
"Capsl_ENSMUSG00000039676","CD11b+","Nb","PBS",FALSE,85.9525538832396,0.791535025178943,0.223371398389437,3.5435827097207,0.000394729474607921,0.00599235699116958
"Frmd5_ENSMUSG00000027238","CD11b+","Nb","PBS",FALSE,122.381474290849,-0.790411029983625,0.215152134875801,-3.6737308251201,0.000239034543098754,0.00397290906266777
"Tnfrsf4_ENSMUSG00000029075","CD11b+","Nb","PBS",FALSE,1333.52249023558,0.786950818608262,0.120459356823457,6.53291566018907,6.4501470751481e-11,7.76532031416e-09
"Sf3a2_ENSMUSG00000020211","CD11b+","Nb","PBS",FALSE,134.325406592372,-0.786817642637048,0.153638654995498,-5.12122188690148,3.03562195574188e-07,1.44426755935554e-05
"Aig1_ENSMUSG00000019806","CD11b+","Nb","PBS",FALSE,83.3674273144636,0.785542558453499,0.220708972459737,3.55917817793657,0.000372017087866479,0.00572922867798821
"Acss1_ENSMUSG00000027452","CD11b+","Nb","PBS",FALSE,66.1122715614127,-0.784671394031783,0.213094601358596,-3.68226782391045,0.000231168367722541,0.00386979794850995
"Uhrf1_ENSMUSG00000001228","CD11b+","Nb","PBS",FALSE,584.178188566445,0.783309437344591,0.132657759780872,5.90473892095333,3.53205650636511e-09,2.98178794698933e-07
"Rnu12_ENSMUSG00000065176","CD11b+","Nb","PBS",FALSE,297.877463285415,0.782008935501985,0.202007544489759,3.87118677907413,0.000108306761509695,0.00207400707206325
"D10Bwg1379e_ENSMUSG00000019852","CD11b+","Nb","PBS",FALSE,118.509120536985,-0.78154904098923,0.175793839950975,-4.44582723266748,8.75542934521953e-06,0.000261247670871906
"Sec24a_ENSMUSG00000036391","CD11b+","Nb","PBS",FALSE,158.30702838803,-0.777522682679581,0.172194105620241,-4.51538500623441,6.32018353902771e-06,0.000197970454972486
"Gm22513_ENSMUSG00000096349","CD11b+","Nb","PBS",FALSE,6807.70925733617,0.777104389510797,0.125638186396681,6.18525634441445,6.20016328143101e-10,6.4060642262248e-08
"Oprd1_ENSMUSG00000050511","CD11b+","Nb","PBS",FALSE,2275.88085151267,0.777089040665211,0.116306936567672,6.68136453076528,2.36727552347693e-11,3.18203200218817e-09
"Zmiz1_ENSMUSG00000007817","CD11b+","Nb","PBS",FALSE,1355.51630583248,-0.773896999078975,0.127701765253598,-6.0601902999706,1.35960595259375e-09,1.25650738915239e-07
"Calm5_ENSMUSG00000099269","CD11b+","Nb","PBS",FALSE,106.133126794945,0.770426237286834,0.202434074284683,3.80581302831154,0.000141339128658148,0.00262663118962693
"Tcp11l2_ENSMUSG00000020034","CD11b+","Nb","PBS",FALSE,65.5490698909137,-0.768195897599928,0.218798046573905,-3.51098151756327,0.000446455437791373,0.00662505416529642
"Glrx_ENSMUSG00000021591","CD11b+","Nb","PBS",FALSE,452.983098250485,0.767689423678258,0.131728323971023,5.82782351233081,5.61549183495178e-09,4.52014444505275e-07
"1110038F14Rik_ENSMUSG00000063236","CD11b+","Nb","PBS",FALSE,184.306026488542,0.765880399609913,0.169063148292211,4.53014395713342,5.89435097049666e-06,0.000187172681620473
"Serpinb6b_ENSMUSG00000042842","CD11b+","Nb","PBS",FALSE,19440.6188478643,0.760791486176951,0.129013668360971,5.89698359749227,3.70206645264488e-09,3.10637030526475e-07
"Emr1_ENSMUSG00000004730","CD11b+","Nb","PBS",FALSE,221.272655655049,-0.76059057214418,0.131767082782713,-5.77223503838521,7.82268942176164e-09,6.01695194690499e-07
"Spen_ENSMUSG00000040761","CD11b+","Nb","PBS",FALSE,557.018497142763,-0.760381606482965,0.151723833927661,-5.0116160842963,5.39748069440172e-07,2.35735394996819e-05
"Bcl11a_ENSMUSG00000000861","CD11b+","Nb","PBS",FALSE,168.006577278025,-0.757635611435032,0.194387779872075,-3.89754753068134,9.71717546946795e-05,0.00189752178243701
"Tnfrsf14_ENSMUSG00000042333","CD11b+","Nb","PBS",FALSE,290.588877924205,0.757058726968588,0.135339360607616,5.593780874756,2.22177332660253e-08,1.57745906188779e-06
"Abi3_ENSMUSG00000018381","CD11b+","Nb","PBS",FALSE,91.6057207308866,-0.75633196157671,0.197979125620328,-3.82026114726437,0.000133310449725743,0.00250431909966475
"Pik3ap1_ENSMUSG00000025017","CD11b+","Nb","PBS",FALSE,113.475697174684,-0.755499086537135,0.203769838578829,-3.70760997705197,0.000209224562683154,0.00357178060462178
"Bahcc1_ENSMUSG00000039741","CD11b+","Nb","PBS",FALSE,489.453379629099,-0.750560856086482,0.137955319464828,-5.44060829983321,5.30989482523676e-08,3.34161335706377e-06
"Sepp1_ENSMUSG00000064373","CD11b+","Nb","PBS",FALSE,101.693713527574,-0.749357965771618,0.199496487049125,-3.75624642246002,0.000172480865541153,0.00306546544726222
