"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sord_ENSMUSG00000027227","TN","DBP+FITC","UT",FALSE,92.6728761224534,0.601976377953109,0.182227900492738,3.30342596454981,0.000955111856729917,0.00909659588306757
"Elmsan1_ENSMUSG00000042507","TN","DBP+FITC","UT",FALSE,781.858750406861,-0.601515935608256,0.0920897396343792,-6.53184532822478,6.49642282424467e-11,7.64884890141648e-09
"Pofut1_ENSMUSG00000046020","TN","DBP+FITC","UT",FALSE,489.770240968544,0.601272426547637,0.104102337944608,5.77578216223703,7.65964203539609e-09,4.65391994027553e-07
"Ciita_ENSMUSG00000022504","TN","DBP+FITC","UT",FALSE,1726.50127442618,0.601015179920881,0.153172041665624,3.92379166188111,8.71661228918148e-05,0.0013325794437757
"Slc39a14_ENSMUSG00000022094","TN","DBP+FITC","UT",FALSE,191.828421239147,0.600344745517016,0.163768348534884,3.66581669100203,0.000246550490131264,0.00310394112718286
"Irf2bp2_ENSMUSG00000051495","TN","DBP+FITC","UT",FALSE,1020.46339027833,-0.599857575700221,0.0973596487759392,-6.16125451603381,7.21708849083517e-10,5.7775719215821e-08
"Gabarapl1_ENSMUSG00000030161","TN","DBP+FITC","UT",FALSE,712.470863955291,-0.599477396883198,0.116466556026749,-5.14720635119934,2.6439443167674e-07,1.00081317140767e-05
"Ncoa7_ENSMUSG00000039697","TN","DBP+FITC","UT",FALSE,1081.2189868455,0.599329437086256,0.109379041712621,5.47938094631436,4.26816523783627e-08,2.05565942023919e-06
"Sirt1_ENSMUSG00000020063","TN","DBP+FITC","UT",FALSE,1139.17375303797,-0.599327438031547,0.136520096049231,-4.39003088465028,1.13334562909083e-05,0.000249292605960978
"Cmtm6_ENSMUSG00000032434","TN","DBP+FITC","UT",FALSE,2725.67021028065,0.599268326585722,0.143892975122174,4.16468091007854,3.11788317047526e-05,0.000575399996943783
"5930403N24Rik_ENSMUSG00000046463","TN","DBP+FITC","UT",FALSE,533.35021319674,0.598582414627478,0.133057927619203,4.49866028531991,6.83830289845034e-06,0.000166025026108278
"mt-Nd2_ENSMUSG00000064345","TN","DBP+FITC","UT",FALSE,988.056340479335,0.598435093346429,0.149298022265646,4.00832565806956,6.11507574842054e-05,0.00100766922763959
"Tcf7l2_ENSMUSG00000024985","TN","DBP+FITC","UT",FALSE,113.825457516045,-0.597392999441749,0.154323054698124,-3.87105478575658,0.000108365431430735,0.00159492376595199
"Nek1_ENSMUSG00000031644","TN","DBP+FITC","UT",FALSE,181.765074933427,0.597036928337276,0.170039579652072,3.51116445688061,0.000446148298402495,0.00499618623768692
"Cnnm4_ENSMUSG00000037408","TN","DBP+FITC","UT",FALSE,143.864418446001,-0.59689235198484,0.161162084343731,-3.70367729119072,0.000212496549458808,0.00273361467751136
"Tuba4a_ENSMUSG00000026202","TN","DBP+FITC","UT",FALSE,139.989148815389,-0.596552951296533,0.157532253274418,-3.78686230214297,0.000152561587541348,0.0020944955842293
"Top2a_ENSMUSG00000020914","TN","DBP+FITC","UT",FALSE,254.731970775508,-0.59619110669703,0.121629632781863,-4.90169289392062,9.50142908939282e-07,3.04251167165206e-05
"Cyb5a_ENSMUSG00000024646","TN","DBP+FITC","UT",FALSE,709.419863822342,0.594196853469373,0.0994747471113008,5.97334369500366,2.32439484439147e-09,1.60112965792733e-07
"Trappc5_ENSMUSG00000040236","TN","DBP+FITC","UT",FALSE,153.932004829286,0.593561872188332,0.173128363666683,3.42844961748205,0.000607039197031275,0.0063873893485138
"Incenp_ENSMUSG00000024660","TN","DBP+FITC","UT",FALSE,91.5640516308886,-0.592620604181676,0.180131334108216,-3.28993624077448,0.00100210086904393,0.00939311004464597
"Nedd4_ENSMUSG00000032216","TN","DBP+FITC","UT",FALSE,2082.48870081468,-0.591750748019439,0.0697814039795438,-8.4800636598385,2.25070760080573e-17,8.08072231949889e-15
"Ddx3x_ENSMUSG00000000787","TN","DBP+FITC","UT",FALSE,5222.27262002598,-0.591146168630456,0.133786325795305,-4.41858437412295,9.93494945595018e-06,0.000225496707191758
"S100a10_ENSMUSG00000041959","TN","DBP+FITC","UT",FALSE,1503.45268612244,0.590174470167917,0.128669247127633,4.58675622452735,4.50185816692155e-06,0.000115268263323957
"Bphl_ENSMUSG00000038286","TN","DBP+FITC","UT",FALSE,205.194999299481,-0.59000851912458,0.149025334152339,-3.95911555897908,7.5227832951223e-05,0.00118839915307479
"Irf4_ENSMUSG00000021356","TN","DBP+FITC","UT",FALSE,4782.92166593406,0.589631686210523,0.094355070623615,6.24907259687802,4.12896980525145e-10,3.69591686776677e-08
"Wdr53_ENSMUSG00000022787","TN","DBP+FITC","UT",FALSE,225.204886517594,-0.588426476135696,0.156328412753864,-3.76404049507087,0.000167189791329524,0.00224842752289693
"Tmem158_ENSMUSG00000054871","TN","DBP+FITC","UT",FALSE,408.664067182243,-0.586642004016176,0.118367510802501,-4.95610662114033,7.19197597811837e-07,2.38018244102644e-05
"Ceacam15_ENSMUSG00000078795","TN","DBP+FITC","UT",FALSE,138.147126237571,-0.586219607245629,0.178930896181618,-3.27623467917249,0.00105201105743583,0.00978353768328076
"S100a13_ENSMUSG00000042312","TN","DBP+FITC","UT",FALSE,424.237831901465,0.584654016717982,0.115168884168568,5.07649284734102,3.84465264355094e-07,1.40158290833205e-05
"Coq10b_ENSMUSG00000025981","TN","DBP+FITC","UT",FALSE,1270.75665126994,-0.583617607437988,0.170921977180549,-3.41452642348911,0.000638929958197247,0.00664038784624648
"Cd151_ENSMUSG00000025510","TN","DBP+FITC","UT",FALSE,122.587089886779,0.583544543929246,0.161334330487667,3.61698928036803,0.00029804964220239,0.0036218381136553
"Ssfa2_ENSMUSG00000027007","TN","DBP+FITC","UT",FALSE,3824.1455879361,-0.583059335942215,0.149726977806348,-3.89415016909193,9.85435917272234e-05,0.00147231333516285
"Tsc22d3_ENSMUSG00000031431","TN","DBP+FITC","UT",FALSE,1441.39228969294,0.58275988130278,0.0937415920909329,6.21666293802094,5.07839013155558e-10,4.32868822148709e-08
"Slc7a5_ENSMUSG00000040010","TN","DBP+FITC","UT",FALSE,172.021738064423,0.581789293019346,0.155214931228546,3.7482817433504,0.000178050181723219,0.0023543957065365
"Phf1_ENSMUSG00000024193","TN","DBP+FITC","UT",FALSE,165.519832406426,-0.581457543572662,0.169640291850203,-3.42759103530725,0.000608962087859287,0.00639626136255038
"Gyg_ENSMUSG00000019528","TN","DBP+FITC","UT",FALSE,5169.49829278192,0.580918437411597,0.134608220572948,4.31562377794587,1.59152841271228e-05,0.000328509209648346
"Aff4_ENSMUSG00000049470","TN","DBP+FITC","UT",FALSE,1952.58931679447,-0.580272312589112,0.1032543998932,-5.61983134074003,1.91143964081199e-08,1.05224690471583e-06
"Plekho2_ENSMUSG00000050721","TN","DBP+FITC","UT",FALSE,601.713977693536,-0.580232563822067,0.0989999743039452,-5.86093650934356,4.60263946331017e-09,2.94767958709724e-07
"Rasa4_ENSMUSG00000004952","TN","DBP+FITC","UT",FALSE,2511.26382405824,-0.580090274428134,0.08517757781803,-6.81036358732126,9.7352386262262e-12,1.32578284187963e-09
"C2cd2l_ENSMUSG00000032120","TN","DBP+FITC","UT",FALSE,143.283203842773,-0.579216626089513,0.166161742120267,-3.48586033522854,0.000490557050151155,0.00538658010212316
"Mapk1ip1_ENSMUSG00000041775","TN","DBP+FITC","UT",FALSE,135.002793152556,-0.578529100663151,0.169343615778704,-3.4163029884703,0.000634775764988031,0.00660300549919069
"Gfer_ENSMUSG00000040888","TN","DBP+FITC","UT",FALSE,324.988219435598,0.577035879753632,0.15057561973074,3.83219993240268,0.000127002458895527,0.00181510872496285
"Stat4_ENSMUSG00000062939","TN","DBP+FITC","UT",FALSE,1554.64702071356,0.576895326700063,0.136108565890665,4.23849390319402,2.25024292743855e-05,0.000437781251302003
"Cpne2_ENSMUSG00000034361","TN","DBP+FITC","UT",FALSE,3022.55887920884,0.575900460738841,0.0993187698598499,5.7985057764157,6.69083988528763e-09,4.17226689267831e-07
"Ankrd9_ENSMUSG00000037904","TN","DBP+FITC","UT",FALSE,108.130212519518,0.575451252929811,0.169674161565317,3.39150786201638,0.000695091688642492,0.00709340768909238
"Idi1_ENSMUSG00000058258","TN","DBP+FITC","UT",FALSE,3416.72180225936,0.574544292049433,0.0863116590830986,6.65662435588542,2.80188077284327e-11,3.56953584910184e-09
"Kpna1_ENSMUSG00000022905","TN","DBP+FITC","UT",FALSE,925.871100010048,-0.573088493186354,0.135485642948831,-4.2298835560222,2.33812307664147e-05,0.000452678814968811
