"test","gene","padj","FoldChange"
"CD11b+.DBP+FITC.vs.UT.up","Hist1h2ad_ENSMUSG00000071478",0.00242147097121354,1.75618267684452
"CD11b+.DBP+FITC.vs.UT.up","S100a4_ENSMUSG00000001020",5.98698924313512e-05,1.7502778185031
"CD11b+.Nb.vs.PBS.up","Tgtp1_ENSMUSG00000078922",5.57464955211332e-27,5.08964475121127
"CD11b+.Nb.vs.PBS.up","Dll4_ENSMUSG00000027314",1.3398212914538e-09,4.39224190311719
"CD11b+.Nb.vs.PBS.up","Dbn1_ENSMUSG00000034675",1.18469954035048e-05,3.52501180956659
"CD11b+.Nb.vs.PBS.up","Serpina3n_ENSMUSG00000021091",0.00035919967343828,3.33538382951604
"CD11b+.Nb.vs.PBS.up","Trim43b_ENSMUSG00000079162",5.8176285957074e-10,3.23793481213022
"CD11b+.Nb.vs.PBS.up","Plek2_ENSMUSG00000021118",0.00189752178243701,3.22733363048884
"CD11b+.Nb.vs.PBS.up","Ubd_ENSMUSG00000035186",0.00287394529065576,3.13049606755451
"CD11b+.Nb.vs.PBS.up","Ryr2_ENSMUSG00000021313",0.000747570755451371,3.10589840152563
"CD11b+.Nb.vs.PBS.up","Htr7_ENSMUSG00000024798",3.69816258741665e-11,2.82015371598395
"CD11b+.Nb.vs.PBS.up","Susd2_ENSMUSG00000006342",9.56887144494468e-05,2.82009810828906
"CD11b+.Nb.vs.PBS.up","Oasl1_ENSMUSG00000041827",4.57964168398937e-09,2.79853116646683
"CD11b+.Nb.vs.PBS.up","Il27_ENSMUSG00000044701",0.000119057064049497,2.7722357013667
"CD11b+.Nb.vs.PBS.up","Serpinc1_ENSMUSG00000026715",5.73635006202308e-11,2.74117835524624
"CD11b+.Nb.vs.PBS.up","Gvin1_ENSMUSG00000045868",3.65751474833136e-06,2.71379660580653
"CD11b+.Nb.vs.PBS.up","Tgtp2_ENSMUSG00000078921",3.55135385964888e-12,2.63434960595619
"CD11b+.Nb.vs.PBS.up","mt-Co2_ENSMUSG00000064354",0.00490860667811249,2.61264805668066
"CD11b+.Nb.vs.PBS.up","Slfn1_ENSMUSG00000078763",5.26230678909946e-09,2.53358074362283
"CD11b+.Nb.vs.PBS.up","Scarna3a_ENSMUSG00000089536",8.02543818890746e-06,2.52506289111537
"CD11b+.Nb.vs.PBS.up","Rnu3a_ENSMUSG00000065870",1.55092099246323e-22,2.48457967720148
"CD11b+.Nb.vs.PBS.up","S1pr3_ENSMUSG00000067586",1.22097584385089e-07,2.45410588371405
"CD11b+.Nb.vs.PBS.up","Ceacam15_ENSMUSG00000078795",7.32613382703846e-06,2.3738886903273
"CD11b+.Nb.vs.PBS.up","Il33_ENSMUSG00000024810",0.00642501170566093,2.31883870785159
