"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cfdp1_ENSMUSG00000031954","TN","Nb","PBS",FALSE,711.231080185918,0.648053455269203,0.115617201244828,5.60516470120133,2.08057024492247e-08,6.26552192997216e-07
"Mlf2_ENSMUSG00000030120","TN","Nb","PBS",FALSE,2204.31735612711,0.647565128642531,0.0977097560663476,6.62743573121621,3.41568267931054e-11,1.75562956062728e-09
"Mov10_ENSMUSG00000002227","TN","Nb","PBS",FALSE,322.477046124137,0.647199405470648,0.172491077335245,3.75207468971153,0.000175377194785394,0.00157333984593302
"Ocln_ENSMUSG00000021638","TN","Nb","PBS",FALSE,63.4156440918984,0.646739563221064,0.197842855904729,3.26895586026367,0.00107945139412479,0.00703621458474013
"Snhg4_ENSMUSG00000097769","TN","Nb","PBS",FALSE,107.492353924507,0.646537199672738,0.178835186510568,3.61526840599981,0.000300036598613892,0.00247199271137402
"Gm26461_ENSMUSG00000092805","TN","Nb","PBS",FALSE,312.144649489385,0.644218102134119,0.174687306361759,3.68783579958586,0.000226169515638421,0.00194193825496438
"2310058D17Rik_ENSMUSG00000085379","TN","Nb","PBS",FALSE,209.335669725001,-0.642076754921321,0.136059808029827,-4.71907732502876,2.36916759043176e-06,4.02830392272958e-05
"Rnf150_ENSMUSG00000047747","TN","Nb","PBS",FALSE,463.799553481006,-0.641786309975796,0.114783898368154,-5.59125730263449,2.25431228048968e-08,6.71797050608692e-07
"Ranbp1_ENSMUSG00000005732","TN","Nb","PBS",FALSE,273.898912530012,0.640783164080984,0.13049975373728,4.91022508265416,9.09719125922361e-07,1.7605186193368e-05
"Zfp652_ENSMUSG00000075595","TN","Nb","PBS",FALSE,420.923067251902,-0.640732779125467,0.119841797855562,-5.3464883754306,8.9677037632876e-08,2.24794453395162e-06
"Tubb2b_ENSMUSG00000045136","TN","Nb","PBS",FALSE,1225.29878569048,0.640323825875435,0.125650554829133,5.09606843158143,3.46779818035188e-07,7.45809570265697e-06
"Chac2_ENSMUSG00000020309","TN","Nb","PBS",FALSE,84.1778184290558,-0.640142951852181,0.167255983624076,-3.82732466714593,0.000129543597727505,0.00122389208476955
"Anks6_ENSMUSG00000066191","TN","Nb","PBS",FALSE,87.2856289020367,-0.640109799359543,0.180991270049041,-3.53668880927848,0.000405176770643893,0.00314047148474464
"Ccl9_ENSMUSG00000019122","TN","Nb","PBS",FALSE,500.248478537307,0.639819614347158,0.167167556961342,3.82741499593202,0.000129496082976528,0.00122389208476955
"Gpr4_ENSMUSG00000044317","TN","Nb","PBS",FALSE,129.101376068862,0.638797969883346,0.154675456771334,4.12992457379791,3.62882268402314e-05,0.000425769195544285
"Frmd4b_ENSMUSG00000030064","TN","Nb","PBS",FALSE,321.134154165437,0.638683270947917,0.13372921431918,4.77594424075156,1.78865953626372e-06,3.14136835483307e-05
"Ctsz_ENSMUSG00000016256","TN","Nb","PBS",FALSE,5316.08769209678,0.637145481826247,0.0846866383379054,7.52356563362444,5.3302223317661e-14,4.29677275017548e-12
"Melk_ENSMUSG00000035683","TN","Nb","PBS",FALSE,261.774420311216,0.637086914186581,0.110297197744174,5.77609338420595,7.64549511246277e-09,2.5196403745631e-07
"Sec24a_ENSMUSG00000036391","TN","Nb","PBS",FALSE,158.30702838803,-0.636880927107742,0.168804797168873,-3.77288405181165,0.000161371293441878,0.00146697778652783
"Tenc1_ENSMUSG00000037003","TN","Nb","PBS",FALSE,95.0915445307696,-0.635936310727172,0.157510772708599,-4.03741471006355,5.4043483266903e-05,0.000589063453312887
"Abca3_ENSMUSG00000024130","TN","Nb","PBS",FALSE,852.112638627937,-0.635451384252202,0.0973655871168496,-6.5264474140087,6.73479463047132e-11,3.30979709800137e-09
"Parp10_ENSMUSG00000063268","TN","Nb","PBS",FALSE,846.839142466108,0.635410044036098,0.0838546457078772,7.57751748483517,3.52229562323417e-14,2.94532257151783e-12
"Syne1_ENSMUSG00000096054","TN","Nb","PBS",FALSE,739.583431851535,-0.635278801342779,0.122234665025247,-5.1972065470263,2.02305541921418e-07,4.67388370562782e-06
"Slc38a9_ENSMUSG00000047789","TN","Nb","PBS",FALSE,217.78429613546,-0.633146673197204,0.140059036882062,-4.52056994887341,6.16733622361955e-06,9.27583924639692e-05
"1110038F14Rik_ENSMUSG00000063236","TN","Nb","PBS",FALSE,184.306026488542,0.632941094527736,0.156110658825161,4.05443868657687,5.02548292202514e-05,0.000556428222740037
"Ephx1_ENSMUSG00000038776","TN","Nb","PBS",FALSE,494.234298022277,-0.632938796053558,0.133870485439993,-4.72799358255314,2.26749350000012e-06,3.89681973427934e-05
"Mrpl52_ENSMUSG00000010406","TN","Nb","PBS",FALSE,216.947780575145,0.632531804901563,0.155901079080836,4.05726380234732,4.96509893610043e-05,0.000550831025534706
"Tubb6_ENSMUSG00000001473","TN","Nb","PBS",FALSE,754.43698450483,0.63248333336459,0.145995111683518,4.3322226756171,1.47611535382266e-05,0.000200970504733693
"Slc44a5_ENSMUSG00000028360","TN","Nb","PBS",FALSE,187.842592632529,0.630765426950632,0.128229039193318,4.91905289877194,8.6963967166462e-07,1.70951142744514e-05
"Ebi3_ENSMUSG00000003206","TN","Nb","PBS",FALSE,491.073035330902,0.630718751314774,0.128329027632675,4.91485646661425,8.88475281401815e-07,1.73136791793171e-05
"Tuba1b_ENSMUSG00000023004","TN","Nb","PBS",FALSE,2446.53126437915,0.629375041851518,0.0991513873195005,6.34761710215361,2.18675516192579e-10,9.64668960211753e-09
"Psd3_ENSMUSG00000030465","TN","Nb","PBS",FALSE,1245.72201749736,0.628239858653531,0.128295165193357,4.89683190872152,9.73940799557904e-07,1.8654712237686e-05
"Gbp5_ENSMUSG00000040264","TN","Nb","PBS",FALSE,3199.14475982708,0.627713216558801,0.0795119259814536,7.89457944592132,2.91295795264452e-15,2.86805906247118e-13
"Zfp526_ENSMUSG00000046541","TN","Nb","PBS",FALSE,93.6527014477917,-0.627057416492701,0.168676269342487,-3.71752006928431,0.000201188008840039,0.00176118096800988
"Gpr85_ENSMUSG00000048216","TN","Nb","PBS",FALSE,102.633384372301,0.626777364636571,0.196900331006224,3.18322148791491,0.00145646156036231,0.00894717751308099
"Rmdn3_ENSMUSG00000070730","TN","Nb","PBS",FALSE,274.526106556512,0.624624203948754,0.128384156506995,4.86527482006489,1.14297876379204e-06,2.13096123931611e-05
"Snx10_ENSMUSG00000038301","TN","Nb","PBS",FALSE,1797.89457030865,0.624484863357459,0.0678213735549296,9.2077884982922,3.3291287130396e-20,6.78234313265613e-18
"Dnajc12_ENSMUSG00000036764","TN","Nb","PBS",FALSE,190.241733872248,0.624476088925951,0.139916704915468,4.46319893899184,8.07450206814353e-06,0.000118733327655575
"Ulk1_ENSMUSG00000029512","TN","Nb","PBS",FALSE,289.215848788666,-0.623410961270717,0.118696053356228,-5.25216250787841,1.5032373919003e-07,3.59142323587267e-06
"Hdac10_ENSMUSG00000062906","TN","Nb","PBS",FALSE,70.9951506386281,-0.622921390659157,0.196401964504894,-3.17166578363648,0.00151567329239586,0.00922494255366411
"Icosl_ENSMUSG00000000732","TN","Nb","PBS",FALSE,7751.27357951154,-0.622768691455067,0.095651858010615,-6.51078509510976,7.47590350975316e-11,3.62629865051014e-09
"Tbc1d31_ENSMUSG00000022364","TN","Nb","PBS",FALSE,63.6745394389768,-0.622276203737549,0.191491859232326,-3.24962223580783,0.00115558402959068,0.00744584189279101
"Fam105a_ENSMUSG00000056069","TN","Nb","PBS",FALSE,400.546318711545,-0.621511856140094,0.106175935244443,-5.85360378233751,4.81033843999335e-09,1.66872576532896e-07
"Pop7_ENSMUSG00000029715","TN","Nb","PBS",FALSE,71.3487719032082,0.621185246480999,0.177988579347841,3.4900286791268,0.000482968713801956,0.00363442876974541
"Scmh1_ENSMUSG00000000085","TN","Nb","PBS",FALSE,181.51051825093,-0.620753831919199,0.162523495544755,-3.81947133144363,0.000133738001340048,0.00125715965185842
"Wdr76_ENSMUSG00000027242","TN","Nb","PBS",FALSE,180.521017891286,-0.619728735161634,0.150468601469976,-4.11865817258423,3.81084950976372e-05,0.00044157775343229
"Zfand6_ENSMUSG00000030629","TN","Nb","PBS",FALSE,3396.46892822964,0.619417630010865,0.0735252373871772,8.42455804323444,3.62114460516243e-17,4.88854521696927e-15
"Fam132a_ENSMUSG00000023571","TN","Nb","PBS",FALSE,162.065457722075,0.619005241465274,0.154976457394583,3.9941888714699,6.49161022951854e-05,0.000692747548778622
"9230112E08Rik_ENSMUSG00000070461","TN","Nb","PBS",FALSE,98.7307970696759,-0.618487367314516,0.194531565358632,-3.17936765775926,0.00147596750925164,0.00905211600501624
"Fam168a_ENSMUSG00000029461","TN","Nb","PBS",FALSE,488.843754333024,-0.618111971809978,0.121391188757854,-5.09190146447087,3.5449032846837e-07,7.56583643902493e-06
"Banf1_ENSMUSG00000024844","TN","Nb","PBS",FALSE,251.430348144334,0.61732612441684,0.131282252452096,4.70228163279036,2.5727030268527e-06,4.3219096575539e-05
