"","CellPop","SampleA","SampleB","lowExpression","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Foxn2_ENSMUSG00000034998","CD11b+","DBP+FITC","UT",FALSE,4377.65363457779,0.408387251763249,0.0864457087214309,4.7242050276812,2.31017259792461e-06,0.000295395925081613
"Adam19_ENSMUSG00000011256","CD11b+","DBP+FITC","UT",FALSE,1953.44514615285,-0.406892193207317,0.0857571832419303,-4.74470100142434,2.08814541969661e-06,0.000273598609126421
"Nudt9_ENSMUSG00000029310","CD11b+","DBP+FITC","UT",FALSE,755.899065136205,-0.406522679051104,0.0998284324597729,-4.07221338685166,4.65684859904177e-05,0.00253451970162207
"Scube3_ENSMUSG00000038677","CD11b+","DBP+FITC","UT",FALSE,1836.55494734589,-0.404945361759252,0.0946039676722537,-4.28042683328195,1.86535207343253e-05,0.00135595764077667
"Aff1_ENSMUSG00000029313","CD11b+","DBP+FITC","UT",FALSE,2134.81496448262,-0.404596393583567,0.107266889899581,-3.77186654672597,0.000162030914630326,0.00613629397965407
"Plxnb2_ENSMUSG00000036606","CD11b+","DBP+FITC","UT",FALSE,846.037935197979,-0.403682757712459,0.0947463309750542,-4.26066902599896,2.03815872994199e-05,0.00146486588477543
"Cdcp1_ENSMUSG00000035498","CD11b+","DBP+FITC","UT",FALSE,685.25150428901,-0.403462952775964,0.0928238804686345,-4.34654262178034,1.38300187354473e-05,0.00109535812566643
"Emc2_ENSMUSG00000022337","CD11b+","DBP+FITC","UT",FALSE,600.925698262013,0.401600722447439,0.101417055502636,3.95989333802933,7.49832464476554e-05,0.00358467204751787
"Vps35_ENSMUSG00000031696","CD11b+","DBP+FITC","UT",FALSE,2729.13037014783,0.401344161657054,0.107467736651041,3.73455489213717,0.000188047474325691,0.00674239136830596
"Wbp2_ENSMUSG00000034341","CD11b+","DBP+FITC","UT",FALSE,608.446344334553,-0.399534182701293,0.104824008016732,-3.81147592293474,0.000138139512728613,0.00559570476560599
"Gnai3_ENSMUSG00000000001","CD11b+","DBP+FITC","UT",FALSE,4435.3890718269,0.397015072087627,0.106408124338811,3.73105977155938,0.000190675973682051,0.00677184679529513
"Zfx_ENSMUSG00000079509","CD11b+","DBP+FITC","UT",FALSE,1370.44808099374,0.393597571067205,0.102452539281391,3.84175515636727,0.000122157659655175,0.00512434482972478
"Ern1_ENSMUSG00000020715","CD11b+","DBP+FITC","UT",FALSE,314.713392091916,-0.392741599858257,0.103897650643487,-3.78008162288391,0.000156776954595777,0.00602852833016297
